Country,ISO,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,"School enrollment, primary (% net)",89.39816,91.25702,92.17384,92.40589,92.86403,93.09766,93.20169,95.24939,96.36304,97.44184,97.23353,97.5945,97.31376,38.77092972,35.04718618,97.54838,97.5908,97.5883,97.63517,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Algeria,DZA,"School enrollment, secondary (% gross)",64.59542084,68.76329803,72.58306885,75.43586731,79.62985992,81.85636902,83.48119354,73.51782227,80.23114014,96.39295959,100.7397766,103.1842728,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,104.5502701,101.2648926
Algeria,DZA,"School enrollment, secondary (% net)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Algeria,DZA,Control of Corruption: Estimate,39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Algeria,DZA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,27.31929614,29.12018604,32.19564318,32.73704298,27.24256975,30.09498057,27.74349432,28.90132947,27.41910094,24.62159436,20.72979278,22.65174512,22.24104352,20.9413489,18.90663639,14.28178529,15.77542393,37.5,46.3343277
Algeria,DZA,"Adjusted net savings, including particulate emission damage (% of GNI)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,26.81616213,28.64244683,31.75634869,32.32293944,26.84049407,29.70470538,27.3670083,28.53965521,27.04807944,24.26892606,20.37676397,22.3100737,21.89577501,20.58557007,18.54829214,13.90168605,15.40495028,37.5,46.3343277
Algeria,DZA,"Secondary education, pupils",2994258.0,3188826.0,3352340.0,3455930.0,3604785.0,3654232.0,3664852.0,3724095.0,3984536.0,4576166.0,4359334.0,4322256.0,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,5501036.0,5580053.0
American Samoa,ASM,Expense (% of GDP),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,GDP (current US$),39.53390433,68.41048,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,46.3343277
American Samoa,ASM,GDP growth (annual %),39.53390433,68.41048,41.41501294,0.965517241,0.409836066,36.3215847,33.99303419,1.851851852,38.62202019,63.42638,0.299850075,0.0,42.32925145,38.77092972,1.762820513,3.149606299,34.90102361,31.484761315,2.671118531,21.195026695000003,4.411764706,23.4050916,1.735015773,46.3343277
American Samoa,ASM,GDP per capita (current US$),39.53390433,68.41048,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,46.3343277
American Samoa,ASM,GDP per capita growth (annual %),39.53390433,68.41048,41.41501294,1.126789855,0.680220537,36.3215847,33.99303419,2.32559828,38.62202019,63.42638,0.844681592,0.606612624,42.32925145,38.77092972,2.790612438,4.296623367,34.90102361,31.484761315,4.038507121,0.897584681,5.351787426,0.29788482,3.593276063,46.3343277
American Samoa,ASM,GNI per capita growth (annual %),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,Gross national expenditure (% of GDP),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,14.7170496,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,Government Effectiveness: Percentile Rank,39.53390433,68.41048,41.41501294,38.81410408,52.23880768,61.27450943,61.95121765,69.41747284,68.44660187,68.42105103,68.42105103,67.77251434,67.77251434,68.2464447,70.19230652,68.57142639,69.52381134,70.47618866,69.52381134,70.0,72.85713959,72.38095093,74.52830505,73.11320496
American Samoa,ASM,"School enrollment, primary (% net)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,"School enrollment, secondary (% gross)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,"School enrollment, secondary (% net)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,Control of Corruption: Estimate,39.53390433,68.41048,41.41501294,38.81410408,0.791444957,0.789309144,0.299861044,0.308062404,0.317555279,0.347466081,0.328756839,0.310445875,0.299411148,0.303002298,1.220693946,1.151729107,1.15941143,1.762287259,1.780649662,1.780229092,1.265453935,1.279687047,1.270272374,1.251356125
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,39.53390433,68.41048,41.41501294,38.81410408,0.736926496,0.746284068,0.703987658,0.967931151,0.984463036,0.945724666,0.919146717,0.93399018,0.95299083,0.928985775,1.08068347,1.151678085,1.158555984,1.184323668,1.166297317,1.144933939,1.09020865,1.066840887,1.123173952,1.114221215
American Samoa,ASM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,"Adjusted net savings, including particulate emission damage (% of GNI)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
American Samoa,ASM,"Secondary education, pupils",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Andorra,AND,Expense (% of GDP),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Andorra,AND,GDP (current US$),1432606189.0,1548265808.0,1764279824.0,2366941809.0,2900245324.0,3161084091.0,3459337987.0,3957625367.0,4102319399.0,3688976341.0,3449925739.0,3629133574.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,3324647529.0,3380612573.0,3785067332.0
Andorra,AND,GDP growth (annual %),3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,51.293871175,8.28677879,9.564612256,2.58355481
Andorra,AND,GDP per capita (current US$),21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
Andorra,AND,GDP per capita growth (annual %),3.567765711,7.845168134,3.518284734,4.032707486,1.095400014,1.183027687,1.958830028,33.984731275,38.62202019,63.42638,1.889880843,3.749517536,42.32925145,38.77092972,4.529893817,3.630797937,3.699620468,31.484761315,26.19047546,0.265352821,51.293871175,6.927044852,7.721238001,1.123259079
Andorra,AND,GNI per capita growth (annual %),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Andorra,AND,Gross national expenditure (% of GDP),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Andorra,AND,"Government expenditure on education, total (% of GDP)",39.53390433,68.41048,1.65971005,38.81410408,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,2.565778955,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.632130466,2.381921736,2.647279978,1.898679972
Andorra,AND,Government Effectiveness: Percentile Rank,87.97814178,68.41048,88.10810852,88.10810852,90.04975128,88.23529053,89.75609589,90.29125977,90.77669525,91.86602783,89.95215607,90.52132416,91.4691925,92.41706085,95.19230652,95.7142868,96.66666412,98.09523773,98.57142639,98.09523773,95.7142868,97.14286041,92.45282745,91.03773499
Andorra,AND,"School enrollment, primary (% net)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Andorra,AND,"School enrollment, secondary (% gross)",39.53390433,68.41048,82.63851929,83.00415802,79.75460052,86.06632996,85.28627777,82.71604919,82.46253204,82.94129944,85.4886322,86.19689178,87.2305069,86.79360962,88.97815704,91.29621887,94.65241241,95.10903931,95.9804306,96.57433319,97.15003967,98.04042053,98.50987244,99.50865173
