ZWE,Zimbabwe,0.458,0.512,0.567,0.582,0.581,0.594,0.598
ZMB,Zambia,0.429,0.533,0.565,0.578,0.574,0.589,0.595
CMR,Cameroon,0.439,0.529,0.575,0.579,0.574,0.581,0.588
SLB,Solomon Islands,0.547,0.564,0.576,0.579,0.577,0.583,0.584
CIV,Côte d'Ivoire,0.419,0.465,0.519,0.553,0.557,0.565,0.582
UGA,Uganda,0.407,0.514,0.547,0.571,0.573,0.578,0.582
RWA,Rwanda,0.34,0.504,0.525,0.555,0.562,0.57,0.578
PNG,Papua New Guinea,0.456,0.503,0.543,0.567,0.567,0.572,0.576
TGO,Togo,0.448,0.483,0.523,0.554,0.56,0.567,0.571
SYR,Syrian Arab Republic,0.594,0.669,0.549,0.57,0.571,0.571,0.564
MRT,Mauritania,0.468,0.525,0.551,0.554,0.553,0.562,0.563
NGA,Nigeria,0.435,0.502,0.53,0.547,0.554,0.557,0.56
TZA,Tanzania,0.414,0.513,0.52,0.554,0.548,0.554,0.555
HTI,Haiti,0.497,0.452,0.552,0.555,0.548,0.552,0.554
LSO,Lesotho,0.462,0.478,0.517,0.537,0.532,0.547,0.55
PAK,Pakistan,0.436,0.5,0.527,0.536,0.537,0.544,0.544
SEN,Senegal,0.398,0.477,0.509,0.522,0.522,0.526,0.53
GMB,Gambia,0.403,0.463,0.482,0.512,0.513,0.519,0.524
COD,"Congo, The Democratic Republic of the",0.391,0.44,0.477,0.506,0.508,0.514,0.522
MWI,Malawi,0.394,0.475,0.504,0.512,0.509,0.513,0.517
BEN,Benin,0.415,0.485,0.511,0.504,0.506,0.512,0.515
GNB,Guinea-Bissau,0.452,0.452,0.481,0.498,0.502,0.511,0.514
DJI,Djibouti,0.337,0.421,0.469,0.499,0.501,0.51,0.513
SDN,Sudan,0.479,0.479,0.498,0.513,0.512,0.516,0.511
LBR,Liberia,0.443,0.467,0.48,0.498,0.503,0.508,0.51
ERI,Eritrea,0.465,0.465,0.48,0.495,0.496,0.499,0.503
GIN,Guinea,0.359,0.43,0.465,0.488,0.49,0.498,0.5
ETH,Ethiopia,0.293,0.415,0.456,0.486,0.487,0.494,0.497
AFG,Afghanistan,0.351,0.465,0.496,0.501,0.486,0.495,0.496
MOZ,Mozambique,0.311,0.419,0.457,0.477,0.478,0.49,0.493
MDG,Madagascar,0.443,0.493,0.501,0.483,0.481,0.483,0.487
YEM,Yemen,0.439,0.502,0.475,0.459,0.458,0.466,0.47
SLE,Sierra Leone,0.318,0.41,0.432,0.454,0.458,0.463,0.467
BFA,Burkina Faso,0.377,0.377,0.419,0.453,0.454,0.457,0.459
BDI,Burundi,0.308,0.416,0.432,0.435,0.435,0.437,0.439
MLI,Mali,0.32,0.41,0.413,0.414,0.414,0.417,0.419
NER,Niger,0.266,0.339,0.374,0.404,0.413,0.414,0.419
TCD,Chad,0.303,0.375,0.396,0.408,0.408,0.414,0.416
CAF,Central African Republic,0.333,0.358,0.377,0.386,0.339,0.339,0.414
SOM,Somalia,0.385,0.385,0.385,0.385,0.385,0.385,0.404
SSD,South Sudan,0.42,0.42,0.317,0.398,0.393,0.388,0.388
